Anio	Measure Names	Rendimiento	Producción
2021	Producción		1502098.48091502
2020	Producción		1481451.53290602
2019	Producción		1649079.04955343
2018	Producción		1562202.63728487
2017	Producción		1484078.15980618
2016	Producción		1075395.11074244
2015	Producción		1387003.36103733
2014	Producción		1020380.67701948
2013	Producción		2594000.40797034
2012	Producción		2269901.37258695
2011	Producción		2443672.99261069
2010	Producción		1892647.36632093
2010	Rendimiento	34.609024908	
2011	Rendimiento	44.735352887	
2012	Rendimiento	36.128662361	
2013	Rendimiento	41.393414352	
2014	Rendimiento	31.427329979	
2015	Rendimiento	35.457135615	
2016	Rendimiento	25.398794756	
2017	Rendimiento	35.091231629	
2018	Rendimiento	39.647153498	
2019	Rendimiento	36.413809792	
2020	Rendimiento	34.178661731	
2021	Rendimiento	36.486348302	
