Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","064","Bhutan","5511","Production","S2615","Bananas","2019","2019","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","064","Bhutan","5511","Production","S2615","Bananas","2020","2020","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","064","Bhutan","5301","Domestic supply quantity","S2615","Bananas","2019","2019","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","064","Bhutan","5301","Domestic supply quantity","S2615","Bananas","2020","2020","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","064","Bhutan","5123","Losses","S2615","Bananas","2019","2019","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","064","Bhutan","5123","Losses","S2615","Bananas","2020","2020","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2010","2010","1000 tonnes","9848","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2011","2011","1000 tonnes","10706","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2012","2012","1000 tonnes","11853","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2013","2013","1000 tonnes","12366","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2014","2014","1000 tonnes","12092","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2015","2015","1000 tonnes","10901","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2016","2016","1000 tonnes","11198","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2017","2017","1000 tonnes","11526","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2018","2018","1000 tonnes","11578","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2019","2019","1000 tonnes","11998","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5511","Production","S2615","Bananas","2020","2020","1000 tonnes","11873","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2010","2010","1000 tonnes","37","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2011","2011","1000 tonnes","46","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2012","2012","1000 tonnes","34","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2013","2013","1000 tonnes","35","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2014","2014","1000 tonnes","21","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2015","2015","1000 tonnes","18","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2016","2016","1000 tonnes","12","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2017","2017","1000 tonnes","19","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2018","2018","1000 tonnes","23","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2019","2019","1000 tonnes","28","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5911","Export Quantity","S2615","Bananas","2020","2020","1000 tonnes","26","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5301","Domestic supply quantity","S2615","Bananas","2010","2010","1000 tonnes","10550","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","5301","Domestic supply quantity","S2615","Bananas","2011","2011","1000 tonnes","11569","E","Estimated value"
