Measure Names	Producto	No.	Fuente Tbl	Measure Values
Rendimiento (t/ha)	Banano	1	ESPAC	36.486348302
Producción (t)	Banano	1	ESPAC	1502098.48091502
Sup Cosechadas (ha)	Banano	1	ESPAC	41168.780950615
Sup Plantadas (ha)	Banano	1	ESPAC	42202.403987368
Rendimiento (t/ha)	Cacao	2	ESPAC	0.468050950
Producción (t)	Cacao	2	ESPAC	4208.989712829
Sup Cosechadas (ha)	Cacao	2	ESPAC	8992.588764515
Sup Plantadas (ha)	Cacao	2	ESPAC	9944.483055391
Rendimiento (t/ha)	Maíz duro seco	3	ESPAC	3.256456592
Producción (t)	Maíz duro seco	3	ESPAC	9914.966880108
Sup Cosechadas (ha)	Maíz duro seco	3	ESPAC	3044.710285138
Sup Plantadas (ha)	Maíz duro seco	3	ESPAC	3249.916284147
Rendimiento (t/ha)	Arroz	4	ESPAC	4.322446522
Producción (t)	Arroz	4	ESPAC	10205.211107741
Sup Cosechadas (ha)	Arroz	4	ESPAC	2360.980304988
Sup Plantadas (ha)	Arroz	4	ESPAC	2360.980304988
Rendimiento (t/ha)	Caña de azúcar para otros usos	5	ESPAC	10.059786098
Producción (t)	Caña de azúcar para otros usos	5	ESPAC	15182.211237357
Sup Cosechadas (ha)	Caña de azúcar para otros usos	5	ESPAC	1509.198216553
Sup Plantadas (ha)	Caña de azúcar para otros usos	5	ESPAC	1621.915573428
Rendimiento (t/ha)	Plátano	6	ESPAC	9.566178728
Producción (t)	Plátano	6	ESPAC	11155.985032387
Sup Cosechadas (ha)	Plátano	6	ESPAC	1166.190320092
Sup Plantadas (ha)	Plátano	6	ESPAC	1545.388279109
Rendimiento (t/ha)	Café	7	ESPAC	0.150558257
Producción (t)	Café	7	ESPAC	150.064615896
Sup Cosechadas (ha)	Café	7	ESPAC	996.721264762
Sup Plantadas (ha)	Café	7	ESPAC	1022.379344181
Rendimiento (t/ha)	Limón (Fruta fresca)	8	ESPAC	3.038289326
Producción (t)	Limón (Fruta fresca)	8	ESPAC	1819.205804659
Sup Cosechadas (ha)	Limón (Fruta fresca)	8	ESPAC	598.759897304
Sup Plantadas (ha)	Limón (Fruta fresca)	8	ESPAC	708.259671825
Rendimiento (t/ha)	Maíz suave seco	9	ESPAC	0.426922214
Producción (t)	Maíz suave seco	9	ESPAC	147.791154724
Sup Cosechadas (ha)	Maíz suave seco	9	ESPAC	346.178179640
Sup Plantadas (ha)	Maíz suave seco	9	ESPAC	358.517101660
Rendimiento (t/ha)	Naranja	10	ESPAC	2.624996955
Producción (t)	Naranja	10	ESPAC	860.526300633
Sup Cosechadas (ha)	Naranja	10	ESPAC	327.819923317
Sup Plantadas (ha)	Naranja	10	ESPAC	332.319923317
Rendimiento (t/ha)	Fréjol seco	11	ESPAC	0.184642791
Producción (t)	Fréjol seco	11	ESPAC	33.756394028
Sup Cosechadas (ha)	Fréjol seco	11	ESPAC	182.819994367
Sup Plantadas (ha)	Fréjol seco	11	ESPAC	207.378818685
Rendimiento (t/ha)	Maracuyá	12	ESPAC	9.274235671
Producción (t)	Maracuyá	12	ESPAC	1279.490197754
Sup Cosechadas (ha)	Maracuyá	12	ESPAC	137.961794709
Sup Plantadas (ha)	Maracuyá	12	ESPAC	168.636141934
Rendimiento (t/ha)	Papa	13	ESPAC	2.277636131
Producción (t)	Papa	13	ESPAC	325.393790837
Sup Cosechadas (ha)	Papa	13	ESPAC	142.864694836
Sup Plantadas (ha)	Papa	13	ESPAC	154.678685512
Rendimiento (t/ha)	Orito (Fruta fresca)	14	ESPAC	0.454545455
Producción (t)	Orito (Fruta fresca)	14	ESPAC	61.844451184
Sup Cosechadas (ha)	Orito (Fruta fresca)	14	ESPAC	136.057792605
Sup Plantadas (ha)	Orito (Fruta fresca)	14	ESPAC	136.057792605
Rendimiento (t/ha)	Maíz duro choclo	15	ESPAC	3.173969383
Producción (t)	Maíz duro choclo	15	ESPAC	334.656760764
Sup Cosechadas (ha)	Maíz duro choclo	15	ESPAC	105.437929722
Sup Plantadas (ha)	Maíz duro choclo	15	ESPAC	105.437929722
Rendimiento (t/ha)	Fréjol tierno	16	ESPAC	1.061077118
Producción (t)	Fréjol tierno	16	ESPAC	99.267729656
Sup Cosechadas (ha)	Fréjol tierno	16	ESPAC	93.553737061
Sup Plantadas (ha)	Fréjol tierno	16	ESPAC	93.553737061
Rendimiento (t/ha)	Haba seca	17	ESPAC	0.180442975
Producción (t)	Haba seca	17	ESPAC	8.431535007
Sup Cosechadas (ha)	Haba seca	17	ESPAC	46.726867672
Sup Plantadas (ha)	Haba seca	17	ESPAC	46.726867672
Rendimiento (t/ha)	Yuca	18	ESPAC	6.588766298
Producción (t)	Yuca	18	ESPAC	251.050857757
Sup Cosechadas (ha)	Yuca	18	ESPAC	38.102862721
Sup Plantadas (ha)	Yuca	18	ESPAC	38.102862721
Rendimiento (t/ha)	Trigo	19	ESPAC	0.217641721
Producción (t)	Trigo	19	ESPAC	7.184791096
Sup Cosechadas (ha)	Trigo	19	ESPAC	33.012011939
Sup Plantadas (ha)	Trigo	19	ESPAC	33.012011939
Rendimiento (t/ha)	Maní (Grano descascarado )	20	ESPAC	0.814819157
Producción (t)	Maní (Grano descascarado )	20	ESPAC	23.981109775
Sup Cosechadas (ha)	Maní (Grano descascarado )	20	ESPAC	29.431205172
Sup Plantadas (ha)	Maní (Grano descascarado )	20	ESPAC	29.431205172
Rendimiento (t/ha)	Mango	21	ESPAC	3.896103896
Producción (t)	Mango	21	ESPAC	100.577055139
Sup Cosechadas (ha)	Mango	21	ESPAC	25.814777486
Sup Plantadas (ha)	Mango	21	ESPAC	25.814777486
Rendimiento (t/ha)	Tomate riñon	22	ESPAC	32.006011515
Producción (t)	Tomate riñon	22	ESPAC	544.603042554
Sup Cosechadas (ha)	Tomate riñon	22	ESPAC	17.015648522
Sup Plantadas (ha)	Tomate riñon	22	ESPAC	17.015648522
Rendimiento (t/ha)	Maíz suave choclo	23	ESPAC	1.674641148
Producción (t)	Maíz suave choclo	23	ESPAC	17.928489564
Sup Cosechadas (ha)	Maíz suave choclo	23	ESPAC	10.705869483
Sup Plantadas (ha)	Maíz suave choclo	23	ESPAC	10.705869483
Rendimiento (t/ha)	Arveja tierna	24	ESPAC	4.545454545
Producción (t)	Arveja tierna	24	ESPAC	2.392594737
Sup Cosechadas (ha)	Arveja tierna	24	ESPAC	0.526370842
Sup Plantadas (ha)	Arveja tierna	24	ESPAC	0.526370842
