,year,rcp,precipitation_mm,rain_days,mean_temp,tmax35,tmin15
0,2011,rcp2p6,823,194,23.58,36,107
1,2011,rcp8p5,1124,219,21.91,0,179
2,2012,rcp2p6,1011,222,22.14,1,150
3,2012,rcp8p5,1160,211,21.99,1,217
4,2013,rcp2p6,1073,205,21.82,6,198
5,2013,rcp8p5,829,182,22.81,16,206
6,2014,rcp2p6,1009,220,22.539999,6,187
7,2014,rcp8p5,787,175,23.25,55,164
8,2015,rcp2p6,882,211,23.029999,6,105
9,2015,rcp8p5,907,247,23.96,75,82
10,2016,rcp2p6,912,202,22.24,0,195
11,2016,rcp8p5,1151,212,22.039999,2,168
12,2017,rcp2p6,1020,190,22.939999,20,179
13,2017,rcp8p5,1137,221,22.83,2,105
14,2018,rcp2p6,844,198,23.019999,18,169
15,2018,rcp8p5,837,206,22.199999,0,154
16,2019,rcp2p6,987,196,22.529999,7,184
17,2019,rcp8p5,1070,170,22.039999,14,227
18,2020,rcp2p6,1096,194,22.98,19,120
19,2020,rcp8p5,829,206,22.99,20,133
20,2021,rcp2p6,759,213,23.9,52,104
21,2021,rcp8p5,658,174,24.31,71,82
22,2022,rcp2p6,1216,227,22.18,9,172
23,2022,rcp8p5,884,213,23.189999,0,87
24,2023,rcp2p6,864,196,22.56,13,173
25,2023,rcp8p5,913,212,22.21,3,191
26,2024,rcp2p6,1041,205,22.5,9,194
27,2024,rcp8p5,1070,212,22.43,2,147
28,2025,rcp2p6,1023,205,23.17,19,129
29,2025,rcp8p5,811,191,24.359999,60,59
30,2026,rcp2p6,948,220,22.99,0,95
31,2026,rcp8p5,849,203,23.939999,57,76
32,2027,rcp2p6,981,208,22.51,10,193
33,2027,rcp8p5,1058,230,21.98,8,204
34,2028,rcp2p6,886,207,22.65,2,172
35,2028,rcp8p5,969,210,22.869999,9,151
36,2029,rcp2p6,971,196,22.689999,7,175
37,2029,rcp8p5,806,193,23.6,10,97
38,2030,rcp2p6,803,174,24.369999,59,88
39,2030,rcp8p5,1033,198,22.25,2,173
40,2031,rcp2p6,983,227,23.859999,35,95
41,2031,rcp8p5,1007,202,22.91,22,168
42,2032,rcp2p6,1165,222,21.699999,0,200
43,2032,rcp8p5,781,209,23.32,49,144
44,2033,rcp2p6,1021,206,22.539999,20,182
45,2033,rcp8p5,1168,198,22.58,15,164
46,2034,rcp2p6,891,172,23.869999,70,120
47,2034,rcp8p5,952,198,22.46,8,203
48,2035,rcp2p6,955,237,24.05,46,90
49,2035,rcp8p5,1040,186,23.42,38,94
50,2036,rcp2p6,1086,203,22.26,2,194
51,2036,rcp8p5,1116,246,25.189999,115,45
52,2037,rcp2p6,1025,213,22.6,9,148
53,2037,rcp8p5,1245,232,22.22,2,185
54,2038,rcp2p6,1098,182,23.05,24,133
55,2038,rcp8p5,921,178,23.84,50,107
56,2039,rcp2p6,988,209,22.47,1,154
57,2039,rcp8p5,930,221,24.05,38,68
58,2040,rcp2p6,1025,202,23.359999,23,124
59,2040,rcp8p5,1094,215,22.51,5,136
60,2041,rcp2p6,861,182,24.09,37,103
61,2041,rcp8p5,844,213,23.289999,3,98
62,2042,rcp2p6,879,215,22.68,23,140
63,2042,rcp8p5,961,192,23.199999,25,139
64,2043,rcp2p6,984,205,22.05,0,189
65,2043,rcp8p5,890,199,23.31,21,117
66,2044,rcp2p6,945,180,22.9,33,165
67,2044,rcp8p5,1003,170,24.439999,52,77
68,2045,rcp2p6,931,211,23.09,35,141
69,2045,rcp8p5,939,201,24.289999,44,48
70,2046,rcp2p6,810,199,22.869999,10,153
71,2046,rcp8p5,1109,232,23.199999,0,93
72,2047,rcp2p6,867,217,24.119999,56,77
73,2047,rcp8p5,1034,196,23.439999,21,89
74,2048,rcp2p6,923,227,23.289999,14,95
75,2048,rcp8p5,1000,200,23.619999,13,81
76,2049,rcp2p6,1092,203,22.31,15,199
77,2049,rcp8p5,999,207,23.07,2,110
78,2050,rcp2p6,1064,197,21.96,0,196
79,2050,rcp8p5,950,210,24.42,49,67
80,2051,rcp2p6,1046,222,21.939999,0,188
81,2051,rcp8p5,861,205,24.4,70,49
82,2052,rcp2p6,967,199,22.8,16,146
83,2052,rcp8p5,1170,212,22.72,7,123
84,2053,rcp2p6,982,206,23.55,27,100
85,2053,rcp8p5,757,182,24.01,42,107
86,2054,rcp2p6,1004,213,22.83,17,136
87,2054,rcp8p5,799,186,25.14,80,27
88,2055,rcp2p6,1001,209,22.779999,4,118
89,2055,rcp8p5,1125,219,23.029999,3,95
90,2056,rcp2p6,827,201,23.73,23,110
91,2056,rcp8p5,1208,204,23.24,13,94
92,2057,rcp2p6,1023,228,22.029999,0,159
93,2057,rcp8p5,1137,200,24.109999,15,57
94,2058,rcp2p6,1161,217,22.269999,0,161
95,2058,rcp8p5,1163,214,24.199999,6,31
96,2059,rcp2p6,963,216,22.76,4,155
97,2059,rcp8p5,1090,184,22.75,10,124
98,2060,rcp2p6,760,202,22.64,26,207
99,2060,rcp8p5,1028,194,23.47,11,91
100,2061,rcp2p6,856,217,23.1,37,170
101,2061,rcp8p5,834,202,23.91,12,83
102,2062,rcp2p6,878,204,24.1,65,98
103,2062,rcp8p5,1036,231,23.789999,3,65
104,2063,rcp2p6,1062,223,21.98,0,194
105,2063,rcp8p5,1028,197,25.619999,83,17
106,2064,rcp2p6,847,202,23.109999,15,153
107,2064,rcp8p5,1006,186,24.26,49,52
108,2065,rcp2p6,984,202,23.029999,5,130
109,2065,rcp8p5,1271,238,23.3,15,78
110,2066,rcp2p6,1083,218,22.57,7,154
111,2066,rcp8p5,1036,191,24.49,34,50
112,2067,rcp2p6,1119,223,22.439999,0,151
113,2067,rcp8p5,903,222,24.33,33,33
114,2068,rcp2p6,1022,216,22.35,6,198
115,2068,rcp8p5,964,210,24.1,31,68
116,2069,rcp2p6,1010,202,23.289999,23,123
117,2069,rcp8p5,856,196,25.4,56,12
118,2070,rcp2p6,752,164,25.039999,85,60
119,2070,rcp8p5,987,214,24.609999,55,26
120,2071,rcp2p6,1301,249,23.58,35,78
121,2071,rcp8p5,1160,220,23.47,9,70
122,2072,rcp2p6,1089,228,21.82,0,184
123,2072,rcp8p5,1102,208,24.039999,20,65
124,2073,rcp2p6,1070,222,23.029999,20,141
125,2073,rcp8p5,812,199,24.58,29,50
126,2074,rcp2p6,838,205,23.33,24,141
127,2074,rcp8p5,932,214,23.789999,14,73
128,2075,rcp2p6,992,205,22.93,18,144
129,2075,rcp8p5,1041,230,24.34,72,35
130,2076,rcp2p6,921,221,22.99,2,102
131,2076,rcp8p5,1027,222,23.949999,17,47
132,2077,rcp2p6,1079,214,22.89,2,140
133,2077,rcp8p5,988,204,24.64,43,24
134,2078,rcp2p6,928,217,22.88,22,161
135,2078,rcp8p5,1027,227,25.019999,45,11
136,2079,rcp2p6,1047,232,22.539999,2,164
137,2079,rcp8p5,1011,205,23.93,16,43
138,2080,rcp2p6,1042,195,22.439999,13,202
139,2080,rcp8p5,1150,206,24.98,39,17
140,2081,rcp2p6,777,186,22.689999,28,216
141,2081,rcp8p5,1172,229,25.16,37,16
142,2082,rcp2p6,757,190,23.869999,75,117
143,2082,rcp8p5,1077,203,24.56,15,19
144,2083,rcp2p6,978,217,23.199999,30,107
145,2083,rcp8p5,1069,202,24.609999,31,35
146,2084,rcp2p6,994,199,22.49,19,166
147,2084,rcp8p5,940,197,24.619999,41,37
148,2085,rcp2p6,903,195,22.4,0,163
149,2085,rcp8p5,1265,222,24.949999,50,12
150,2086,rcp2p6,910,195,22.8,8,128
151,2086,rcp8p5,1224,199,25.019999,42,20
152,2087,rcp2p6,990,227,22.81,0,127
153,2087,rcp8p5,1010,201,24.72,29,6
154,2088,rcp2p6,919,208,22.769999,8,159
155,2088,rcp8p5,1117,229,25.23,33,12
156,2089,rcp2p6,790,193,24.18,45,80
157,2089,rcp8p5,1207,218,24.9,40,17
158,2090,rcp2p6,951,246,23.65,53,88
159,2090,rcp8p5,1210,231,24.9,35,10
160,2091,rcp2p6,1248,225,22.05,1,152
161,2091,rcp8p5,943,198,24.76,31,16
162,2092,rcp2p6,1186,220,22.5,5,161
163,2092,rcp8p5,990,193,25.33,81,13
164,2093,rcp2p6,1085,186,23.46,38,129
165,2093,rcp8p5,1308,213,25.08,39,13
166,2094,rcp2p6,851,197,22.859999,24,157
167,2094,rcp8p5,926,175,24.779999,29,19
168,2095,rcp2p6,999,211,22.34,0,148
169,2095,rcp8p5,1104,219,24.75,39,23
170,2096,rcp2p6,989,208,23.21,15,123
171,2096,rcp8p5,1079,190,25.43,67,23
172,2097,rcp2p6,1002,207,23.369999,16,111
173,2097,rcp8p5,954,206,26.109999,88,8
174,2098,rcp2p6,1072,214,21.92,0,214
175,2098,rcp8p5,1234,207,25.72,95,18
176,2099,rcp2p6,920,185,23.369999,26,132
177,2099,rcp8p5,1052,195,25.49,80,18
